"Moving Violations",,
"1st Precinct",,
"  August ",,
001sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",1,9
"Bus Lane, Driving in",1,10
"Cell Phone",150,1646
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",80,660
"Disobey Traffic Control Device",260,1677
"Equipment (Other)",19,95
"Fail to Keep Right",0,1
"Fail to Signal",24,150
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",2,22
"Improper Lights",1,7
"Improper Passing",0,13
"Improper Turn",68,728
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",13,308
"Not Giving R of W to Veh.",0,7
"One Way Street",23,138
"Pavement Markings",32,299
"Safety Belt",94,808
"School Bus, Passing Stopped",0,2
Speeding,6,79
Spillback,1,6
"Tinted Windows",46,363
"Truck Routes",4,30
U-Turn,1,14
Uninspected,0,0
Uninsured,8,77
"Unlicensed Operator",10,74
Unregistered,0,19
"Unsafe Lane Change",12,50
"Other Movers",36,212
"001TOTAL Movers ",892,7508
,,
"* All figures are preliminary and subject to change.",,
