"Moving Violations",,
"Manhattan North",,
" January ",,
pbmnsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",21,21
"Brake Lights (Defect.or Improper)",126,126
"Bus Lane, Driving in",27,27
"Cell Phone",622,622
"Commercial Veh on Pkwy",15,15
"Defective Brakes",0,0
"Disobey Steady Red Signal",635,635
"Disobey Traffic Control Device",1762,1762
"Equipment (Other)",36,36
"Fail to Keep Right",2,2
"Fail to Signal",104,104
"Following Too Closely",3,3
"Headlights (Defect. or Improper)",129,129
"Improper Lights",3,3
"Improper Passing",12,12
"Improper Turn",1229,1229
"Improper/Missing Plates",75,75
"Not Giving R of W to Pedes.",466,466
"Not Giving R of W to Veh.",14,14
"One Way Street",39,39
"Pavement Markings",178,178
"Safety Belt",328,328
"School Bus, Passing Stopped",118,118
Speeding,297,297
Spillback,3,3
"Tinted Windows",604,604
"Truck Routes",73,73
U-Turn,51,51
Uninspected,39,39
Uninsured,159,159
"Unlicensed Operator",275,275
Unregistered,73,73
"Unsafe Lane Change",29,29
"Other Movers",306,306
"PBMNTOTAL Movers ",7853,7853
,,
"* All figures are preliminary and subject to change.",,
