"Moving Violations",,
"Queens North",,
" January ",,
pbqnsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",10,10
"Brake Lights (Defect.or Improper)",5,5
"Bus Lane, Driving in",34,34
"Cell Phone",735,735
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",432,432
"Disobey Traffic Control Device",1856,1856
"Equipment (Other)",17,17
"Fail to Keep Right",2,2
"Fail to Signal",152,152
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",3,3
"Improper Lights",45,45
"Improper Passing",19,19
"Improper Turn",426,426
"Improper/Missing Plates",26,26
"Not Giving R of W to Pedes.",402,402
"Not Giving R of W to Veh.",37,37
"One Way Street",20,20
"Pavement Markings",92,92
"Safety Belt",751,751
"School Bus, Passing Stopped",91,91
Speeding,367,367
Spillback,23,23
"Tinted Windows",916,916
"Truck Routes",25,25
U-Turn,10,10
Uninspected,42,42
Uninsured,127,127
"Unlicensed Operator",598,598
Unregistered,54,54
"Unsafe Lane Change",18,18
"Other Movers",520,520
"PBQNTOTAL Movers ",7856,7856
,,
"* All figures are preliminary and subject to change.",,
