Bronx,,
February ,,
"","",""
Backing Unsafely,12,33
Bike Lane,1,2
Bus Lane,16,38
Cell Phone,632,1439
Commercial Veh on Pkwy,2,2
Cruising For Passengers,0,0
Disobey Traffic Control Device,2526,6029
Driving Too Slow,1,2
Equipment,513,1203
Equipment (Other),0,3
Excessive Noise,0,0
Fail to Keep Right,2,2
Fail to yield Right of Way to Pedestrian,526,1458
Failure to Signal,224,587
Following Too Closely,3,10
Improper Passing,22,44
Improper Taxi Pickup,1,1
Improper Turn,1197,2554
Improper/Missing Plates,17,31
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,21,42
Obstructed Plate,97,190
One Way Street,26,59
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,7
Red Light,675,1589
School Bus,40,101
Scooter In NYC,0,0
Seat Belt,702,1544
Speeding,1044,2915
Spillback,4,19
TBTA Rule,0,0
Tints,822,1988
TLC (Other),0,0
Truck Route,26,62
Uninspected,14,62
Uninsured,301,636
Unlicensed Operator,679,1530
Unregistered,165,399
Unsafe Lane Change,47,124
Other Movers,572,1245
PBBXTOTAL Movers ,10932,25950
