Patrol Bureau,,
   March ,,
"","",""
Backing Unsafely,73,202
Bike Lane,34,164
Bus Lane,311,1075
Cell Phone,3185,9640
Commercial Veh on Pkwy,21,54
Cruising For Passengers,3,3
Disobey Traffic Control Device,15430,48550
Driving Too Slow,0,4
Equipment,1652,4894
Equipment (Other),2,11
Excessive Noise,0,0
Fail to Keep Right,7,19
Fail to yield Right of Way to Pedestrian,5637,15733
Failure to Signal,1411,4220
Failure to yield Right of Way to Vehicle,4,10
Following Too Closely,26,73
Improper Passing,138,386
Improper Taxi Pickup,15,60
Improper Turn,7104,19725
Improper/Missing Plates,82,201
Lamps and Other Equipment on Bicycle,9,16
Motorcycle (Other),67,128
Not Giving R of W to Veh.,101,309
Obstructed Plate,631,1799
One Way Street,357,967
Overheight,0,0
Overlength,0,0
Overweight,0,1
Overwidth,0,0
Pavement Markings,19,49
Red Light,5779,17995
School Bus,239,512
Scooter In NYC,3,5
Seat Belt,4898,14481
Speeding,6020,18623
Spillback,54,149
TBTA Rule,0,0
Tints,3616,10655
TLC (Other),11,24
Truck Route,109,291
Uninspected,164,459
Uninsured,938,2809
Unlicensed Operator,3838,11450
Unregistered,701,2073
Unsafe Lane Change,201,614
Other Movers,6527,19356
PATROLTOTAL Movers ,69417,207789
