"Moving Violations",,
"121st Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",55,55
"Bus Lane, Driving in",5,5
"Cell Phone",52,52
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",208,208
"Equipment (Other)",6,6
"Fail to Keep Right",0,0
"Fail to Signal",113,113
"Fail to Stop on Signal",29,29
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",98,98
"Improper Lights",3,3
"Improper Passing",0,0
"Improper Turn",5,5
"Improper/Missing Plates",6,6
"Not Giving R of W to Pedes.",2,2
"Not Giving R of W to Veh.",6,6
"One Way Street",1,1
"Pavement Markings",24,24
"Safety Belt",20,20
"School Bus, Passing Stopped",2,2
Speeding,28,28
Spillback,0,0
"Tinted Windows",65,65
"Truck Routes",0,0
U-Turn,2,2
Uninspected,17,17
Uninsured,133,133
"Unlicensed Operator",108,108
Unregistered,13,13
"Unsafe Lane Change",4,4
"Other Movers
TOTAL Movers","15
1022",15
,,1022
"* All figures are preliminary and subject to change.",,
