"Moving Violations",,
"1st Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",7,7
"Bus Lane, Driving in",2,2
"Cell Phone",213,213
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",166,166
"Equipment (Other)",40,40
"Fail to Keep Right",0,0
"Fail to Signal",21,21
"Fail to Stop on Signal",57,57
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",9,9
"Improper Lights",1,1
"Improper Passing",0,0
"Improper Turn",60,60
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",30,30
"Not Giving R of W to Veh.",1,1
"One Way Street",12,12
"Pavement Markings",43,43
"Safety Belt",116,116
"School Bus, Passing Stopped",0,0
Speeding,12,12
Spillback,1,1
"Tinted Windows",72,72
"Truck Routes",10,10
U-Turn,0,0
Uninspected,1,1
Uninsured,30,30
"Unlicensed Operator",36,36
Unregistered,6,6
"Unsafe Lane Change",5,5
"Other Movers
TOTAL Movers","49
1004",49
,,1004
"* All figures are preliminary and subject to change.",,
