"Moving Violations",,
"34th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",11,11
"Bus Lane, Driving in",0,0
"Cell Phone",39,39
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",116,116
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",3,3
"Fail to Stop on Signal",10,10
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",9,9
"Improper Lights",1,1
"Improper Passing",0,0
"Improper Turn",34,34
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",11,11
"Not Giving R of W to Veh.",1,1
"One Way Street",0,0
"Pavement Markings",5,5
"Safety Belt",16,16
"School Bus, Passing Stopped",1,1
Speeding,0,0
Spillback,0,0
"Tinted Windows",2,2
"Truck Routes",0,0
U-Turn,3,3
Uninspected,0,0
Uninsured,4,4
"Unlicensed Operator",12,12
Unregistered,2,2
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","15
296",15
,,296
"* All figures are preliminary and subject to change.",,
