"Moving Violations",,
"7th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",127,127
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",194,194
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",13,13
"Fail to Stop on Signal",76,76
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",37,37
"Improper Passing",0,0
"Improper Turn",72,72
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",21,21
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",78,78
"School Bus, Passing Stopped",1,1
Speeding,4,4
Spillback,13,13
"Tinted Windows",17,17
"Truck Routes",13,13
U-Turn,0,0
Uninspected,2,2
Uninsured,13,13
"Unlicensed Operator",25,25
Unregistered,3,3
"Unsafe Lane Change",1,1
"Other Movers
TOTAL Movers","63
773",63
,,773
"* All figures are preliminary and subject to change.",,
