"Moving Violations",,
"45th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",14,14
"Bus Lane, Driving in",0,0
"Cell Phone",48,48
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",94,94
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",5,5
"Fail to Stop on Signal",14,14
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",29,29
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",4,4
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",8,8
"Not Giving R of W to Veh.",3,3
"One Way Street",2,2
"Pavement Markings",9,9
"Safety Belt",39,39
"School Bus, Passing Stopped",1,1
Speeding,7,7
Spillback,0,0
"Tinted Windows",46,46
"Truck Routes",0,0
U-Turn,2,2
Uninspected,2,2
Uninsured,31,31
"Unlicensed Operator",36,36
Unregistered,6,6
"Unsafe Lane Change",2,2
"Other Movers
TOTAL Movers","7
411",7
,,411
"* All figures are preliminary and subject to change.",,
