"Moving Violations",,
"115th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
4","YTD 2014"
,,4
"Brake Lights (Defect.or  Improper)",1,1
"Bus Lane, Driving in",0,0
"Cell Phone",55,55
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",64,64
"Equipment (Other)",16,16
"Fail to Keep Right",0,0
"Fail to Signal",24,24
"Fail to Stop on Signal",56,56
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,8
"Improper Lights",129,129
"Improper Passing",3,3
"Improper Turn",89,89
"Improper/Missing Plates",13,13
"Not Giving R of W to Pedes.",55,55
"Not Giving R of W to Veh.",1,1
"One Way Street",1,1
"Pavement Markings",4,4
"Safety Belt",191,191
"School Bus, Passing Stopped",2,2
Speeding,20,20
Spillback,0,0
"Tinted Windows",185,185
"Truck Routes",14,14
U-Turn,8,8
Uninspected,78,78
Uninsured,302,302
"Unlicensed Operator",525,525
Unregistered,42,42
"Unsafe Lane Change",1,1
"Other Movers
TOTAL Movers","166
2057",166
,,2057
"* All figures are preliminary and subject to change.",,
