"Moving Violations",,
"20th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",13,13
"Bus Lane, Driving in",0,0
"Cell Phone",252,252
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",150,150
"Equipment (Other)",14,14
"Fail to Keep Right",0,0
"Fail to Signal",25,25
"Fail to Stop on Signal",57,57
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",18,18
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",65,65
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",17,17
"Not Giving R of W to Veh.",3,3
"One Way Street",16,16
"Pavement Markings",2,2
"Safety Belt",86,86
"School Bus, Passing Stopped",3,3
Speeding,8,8
Spillback,0,0
"Tinted Windows",17,17
"Truck Routes",19,19
U-Turn,4,4
Uninspected,1,1
Uninsured,12,12
"Unlicensed Operator",28,28
Unregistered,4,4
"Unsafe Lane Change",4,4
"Other Movers
TOTAL Movers","41
860",41
,,860
"* All figures are preliminary and subject to change.",,
