"Moving Violations",,
"10th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",49,49
"Bus Lane, Driving in",0,0
"Cell Phone",149,149
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",33,33
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",3,3
"Fail to Stop on Signal",9,9
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",39,39
"Improper Lights",12,12
"Improper Passing",0,0
"Improper Turn",83,83
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",13,13
"Not Giving R of W to Veh.",1,1
"One Way Street",10,10
"Pavement Markings",7,7
"Safety Belt",226,226
"School Bus, Passing Stopped",1,1
Speeding,3,3
Spillback,2,2
"Tinted Windows",25,25
"Truck Routes",34,34
U-Turn,0,0
Uninspected,8,8
Uninsured,20,20
"Unlicensed Operator",53,53
Unregistered,22,22
"Unsafe Lane Change",4,4
"Other Movers
TOTAL Movers","69
878",69
,,878
"* All figures are preliminary and subject to change.",,
