"Moving Violations",,
"69th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
3","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",26,26
"Bus Lane, Driving in",0,0
"Cell Phone",157,157
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",72,72
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Fail to Stop on Signal",31,31
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",28,28
"Improper Lights",3,3
"Improper Passing",36,36
"Improper Turn",67,67
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",9,9
"Not Giving R of W to Veh.",5,5
"One Way Street",0,0
"Pavement Markings",27,27
"Safety Belt",166,166
"School Bus, Passing Stopped",0,0
Speeding,38,38
Spillback,1,1
"Tinted Windows",162,162
"Truck Routes",0,0
U-Turn,0,0
Uninspected,13,13
Uninsured,84,84
"Unlicensed Operator",43,43
Unregistered,17,17
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","36
1025",36
,,1025
"* All figures are preliminary and subject to change.",,
