"Moving Violations",,
"44th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
5","YTD 2014"
,,5
"Brake Lights (Defect.or  Improper)",50,50
"Bus Lane, Driving in",0,0
"Cell Phone",18,18
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",95,95
"Equipment (Other)",9,9
"Fail to Keep Right",0,0
"Fail to Signal",8,8
"Fail to Stop on Signal",13,13
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",50,50
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",2,2
"Improper/Missing Plates",14,14
"Not Giving R of W to Pedes.",10,10
"Not Giving R of W to Veh.",1,1
"One Way Street",4,4
"Pavement Markings",10,10
"Safety Belt",60,60
"School Bus, Passing Stopped",2,2
Speeding,77,77
Spillback,7,7
"Tinted Windows",53,53
"Truck Routes",2,2
U-Turn,5,5
Uninspected,7,7
Uninsured,24,24
"Unlicensed Operator",38,38
Unregistered,17,17
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","9
590",9
,,590
"* All figures are preliminary and subject to change.",,
