"Moving Violations",,
"13th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
3","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",10,10
"Bus Lane, Driving in",8,8
"Cell Phone",89,89
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",240,240
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",8,8
"Fail to Stop on Signal",56,56
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,6
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",110,110
"Improper/Missing Plates",3,3
"Not Giving R of W to Pedes.",19,19
"Not Giving R of W to Veh.",0,0
"One Way Street",8,8
"Pavement Markings",32,32
"Safety Belt",24,24
"School Bus, Passing Stopped",0,0
Speeding,4,4
Spillback,46,46
"Tinted Windows",4,4
"Truck Routes",12,12
U-Turn,2,2
Uninspected,2,2
Uninsured,36,36
"Unlicensed Operator",18,18
Unregistered,9,9
"Unsafe Lane Change",9,9
"Other Movers
TOTAL Movers","43
802",43
,,802
"* All figures are preliminary and subject to change.",,
