"Moving Violations",,
"71st Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
5","YTD 2014"
,,5
"Brake Lights (Defect.or  Improper)",20,20
"Bus Lane, Driving in",19,19
"Cell Phone",109,109
"Commercial Veh on Pkwy",2,2
"Defective Brakes",0,0
"Disobey Sign",268,268
"Equipment (Other)",11,11
"Fail to Keep Right",0,0
"Fail to Signal",36,36
"Fail to Stop on Signal",78,78
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",16,16
"Improper Lights",0,0
"Improper Passing",3,3
"Improper Turn",29,29
"Improper/Missing Plates",18,18
"Not Giving R of W to Pedes.",32,32
"Not Giving R of W to Veh.",31,31
"One Way Street",8,8
"Pavement Markings",73,73
"Safety Belt",83,83
"School Bus, Passing Stopped",0,0
Speeding,14,14
Spillback,1,1
"Tinted Windows",175,175
"Truck Routes",2,2
U-Turn,1,1
Uninspected,79,79
Uninsured,103,103
"Unlicensed Operator",61,61
Unregistered,38,38
"Unsafe Lane Change",2,2
"Other Movers
TOTAL Movers","37
1356",37
,,1356
"* All figures are preliminary and subject to change.",,
