"Moving Violations",,
"19th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",110,110
"Bus Lane, Driving in",7,7
"Cell Phone",161,161
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",417,417
"Equipment (Other)",0,0
"Fail to Keep Right",1,1
"Fail to Signal",55,55
"Fail to Stop on Signal",43,43
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",65,65
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",437,437
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",55,55
"Not Giving R of W to Veh.",2,2
"One Way Street",30,30
"Pavement Markings",88,88
"Safety Belt",47,47
"School Bus, Passing Stopped",0,0
Speeding,2,2
Spillback,1,1
"Tinted Windows",68,68
"Truck Routes",14,14
U-Turn,2,2
Uninspected,31,31
Uninsured,129,129
"Unlicensed Operator",50,50
Unregistered,48,48
"Unsafe Lane Change",28,28
"Other Movers
TOTAL Movers","77
1968",77
,,1968
"* All figures are preliminary and subject to change.",,
