"Moving Violations",,
"24th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
4","YTD 2014"
,,4
"Brake Lights (Defect.or  Improper)",24,24
"Bus Lane, Driving in",0,0
"Cell Phone",169,169
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",84,84
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",29,29
"Fail to Stop on Signal",24,24
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",20,20
"Improper Lights",1,1
"Improper Passing",0,0
"Improper Turn",51,51
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",82,82
"Not Giving R of W to Veh.",1,1
"One Way Street",7,7
"Pavement Markings",0,0
"Safety Belt",69,69
"School Bus, Passing Stopped",0,0
Speeding,6,6
Spillback,1,1
"Tinted Windows",18,18
"Truck Routes",5,5
U-Turn,0,0
Uninspected,16,16
Uninsured,9,9
"Unlicensed Operator",23,23
Unregistered,8,8
"Unsafe Lane Change",7,7
"Other Movers
TOTAL Movers","43
704",43
,,704
"* All figures are preliminary and subject to change.",,
