19th Precinct,,
    June ,,
019sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,1
Brake Lights (Defect.or Improper),63,603
"Bus Lane, Driving in",1,33
Cell Phone,81,820
Commercial Veh on Pkwy,0,0
Defective Brakes,2,6
Disobey Sign,308,2308
Equipment (Other),1,1
Fail to Keep Right,0,1
Fail to Signal,26,189
Fail to Stop on Signal,63,475
Following Too Closely,0,0
Headlights (Defect. or Improper),28,274
Improper Lights,0,0
Improper Passing,2,4
Improper Turn,345,2430
Improper/Missing Plates,5,14
Not Giving R of W to Pedes.,37,382
Not Giving R of W to Veh.,0,3
One Way Street,13,106
Pavement Markings,86,477
Safety Belt,10,195
"School Bus, Passing Stopped",1,19
Speeding,4,50
Spillback,2,7
Tinted Windows,12,195
Truck Routes,7,50
U-Turn,0,8
Uninspected,5,59
Uninsured,53,563
Unlicensed Operator,45,268
Unregistered,31,249
Unsafe Lane Change,30,145
Other Movers,62,405
019    TOTAL Movers ,1323,10340
