"Moving Violations",,
"Staten Island",,
September,,
pbsisum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,38
"Brake Lights (Defect.or Improper)",123,1449
"Bus Lane, Driving in",7,87
"Cell Phone",250,3088
"Commercial Veh on Pkwy",4,29
"Defective Brakes",0,7
"Disobey Sign",678,6429
"Equipment (Other)",33,356
"Fail to Keep Right",0,21
"Fail to Signal",146,1823
"Fail to Stop on Signal",162,1585
"Following Too Closely",13,97
"Headlights (Defect. or Improper)",95,1297
"Improper Lights",10,92
"Improper Passing",26,138
"Improper Turn",35,388
"Improper/Missing Plates",55,393
"Not Giving R of W to Pedes.",36,424
"Not Giving R of W to Veh.",12,157
"One Way Street",2,70
"Pavement Markings",256,2551
"Safety Belt",307,3793
"School Bus, Passing Stopped",39,123
Speeding,387,4756
Spillback,0,31
"Tinted Windows",211,1744
"Truck Routes",5,89
U-Turn,13,202
Uninspected,19,477
Uninsured,239,2597
"Unlicensed Operator",307,3380
Unregistered,54,583
"Unsafe Lane Change",11,109
"Other Movers",358,2998
"PBSI   TOTAL Movers ",3894,41401
"* All figures are preliminary and subject to change.",,
