19th Precinct,,
019sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,9
Brake Lights (Defect.or Improper),90,817
"Bus Lane, Driving in",13,55
Cell Phone,78,1106
Commercial Veh on Pkwy,0,0
Defective Brakes,0,10
Disobey Sign,284,3310
Equipment (Other),4,25
Fail to Keep Right,0,1
Fail to Signal,42,317
Fail to Stop on Signal,64,838
Following Too Closely,1,2
Headlights (Defect. or Improper),21,337
Improper Lights,3,3
Improper Passing,5,14
Improper Turn,383,3587
Improper/Missing Plates,4,27
Not Giving R of W to Pedes.,34,567
Not Giving R of W to Veh.,0,3
One Way Street,4,169
Pavement Markings,83,726
Safety Belt,11,232
"School Bus, Passing Stopped",6,27
Speeding,10,70
Spillback,0,12
Tinted Windows,25,269
Truck Routes,3,64
U-Turn,1,9
Uninspected,4,71
Uninsured,65,760
Unlicensed Operator,45,378
Unregistered,27,329
Unsafe Lane Change,23,195
Other Movers,53,649
019    TOTAL Movers ,1391,14988
