"Moving Violations",,
"1st Precinct",,
September,,
001sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,14
"Brake Lights (Defect.or Improper)",0,14
"Bus Lane, Driving in",1,31
"Cell Phone",207,1969
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Sign",169,1881
"Equipment (Other)",5,158
"Fail to Keep Right",0,1
"Fail to Signal",14,149
"Fail to Stop on Signal",77,666
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",1,31
"Improper Lights",2,13
"Improper Passing",3,32
"Improper Turn",53,708
"Improper/Missing Plates",0,16
"Not Giving R of W to Pedes.",30,321
"Not Giving R of W to Veh.",1,9
"One Way Street",11,176
"Pavement Markings",30,305
"Safety Belt",125,1066
"School Bus, Passing Stopped",10,18
Speeding,11,114
Spillback,2,19
"Tinted Windows",26,373
"Truck Routes",3,36
U-Turn,1,11
Uninspected,0,11
Uninsured,17,178
"Unlicensed Operator",7,183
Unregistered,1,46
"Unsafe Lane Change",6,50
"Other Movers",19,365
"001    TOTAL Movers ",832,8968
"* All figures are preliminary and subject to change.",,
