"Moving Violations",,
"32nd Precinct",,
September,,
032sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",3,45
"Brake Lights (Defect.or Improper)",31,329
"Bus Lane, Driving in",0,0
"Cell Phone",28,505
"Commercial Veh on Pkwy",0,5
"Defective Brakes",4,25
"Disobey Sign",140,836
"Equipment (Other)",2,70
"Fail to Keep Right",0,2
"Fail to Signal",49,691
"Fail to Stop on Signal",79,336
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",51,422
"Improper Lights",0,8
"Improper Passing",1,2
"Improper Turn",39,310
"Improper/Missing Plates",4,11
"Not Giving R of W to Pedes.",20,244
"Not Giving R of W to Veh.",0,20
"One Way Street",0,23
"Pavement Markings",121,1280
"Safety Belt",22,384
"School Bus, Passing Stopped",0,15
Speeding,20,171
Spillback,5,21
"Tinted Windows",41,486
"Truck Routes",1,27
U-Turn,14,108
Uninspected,6,35
Uninsured,25,438
"Unlicensed Operator",46,354
Unregistered,17,104
"Unsafe Lane Change",2,31
"Other Movers",39,310
"032    TOTAL Movers ",810,7654
"* All figures are preliminary and subject to change.",,
