"Moving Violations",,
"Patrol Bureau",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
141","YTD 2014"
,,309
"Brake Lights (Defect.or  Improper)",2554,5033
"Bus Lane, Driving in",67,190
"Cell Phone",8165,16269
"Commercial Veh on Pkwy",25,39
"Defective Brakes",20,47
"Disobey Sign",9491,19755
"Equipment (Other)",289,700
"Fail to Keep Right",16,53
"Fail to Signal",1852,3440
"Fail to Stop on Signal",4091,7471
"Following Too Closely",40,91
"Headlights (Defect. or Improper)",2760,5774
"Improper Lights",387,756
"Improper Passing",233,509
"Improper Turn",5566,10811
"Improper/Missing Plates",216,497
"Not Giving R of W to Pedes.",2503,4406
"Not Giving R of W to Veh.",261,472
"One Way Street",300,605
"Pavement Markings",2023,4245
"Safety Belt",7370,14389
"School Bus, Passing Stopped",87,191
Speeding,2323,5035
Spillback,319,614
"Tinted Windows",6505,12849
"Truck Routes",418,895
U-Turn,829,1492
Uninspected,530,1436
Uninsured,4601,9385
"Unlicensed Operator",4527,9192
Unregistered,955,2009
"Unsafe Lane Change",302,674
"Other Movers
TOTAL Movers","3754
73520",7262
,,146895
"* All figures are preliminary and subject to change.",,
