"Moving Violations",,
"34th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",13,24
"Bus Lane, Driving in",0,0
"Cell Phone",39,78
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",99,215
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",4,7
"Fail to Stop on Signal",9,19
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,17
"Improper Lights",0,1
"Improper Passing",5,5
"Improper Turn",54,88
"Improper/Missing Plates",4,4
"Not Giving R of W to Pedes.",12,23
"Not Giving R of W to Veh.",0,1
"One Way Street",0,0
"Pavement Markings",18,23
"Safety Belt",15,31
"School Bus, Passing Stopped",0,1
Speeding,9,9
Spillback,1,1
"Tinted Windows",3,5
"Truck Routes",3,3
U-Turn,6,9
Uninspected,1,1
Uninsured,9,13
"Unlicensed Operator",20,32
Unregistered,1,3
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","12
346",27
,,642
"* All figures are preliminary and subject to change.",,
