"Moving Violations",,
"45th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",10,24
"Bus Lane, Driving in",0,0
"Cell Phone",51,99
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",56,150
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",8,13
"Fail to Stop on Signal",23,37
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",29,58
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",1,5
"Improper/Missing Plates",3,4
"Not Giving R of W to Pedes.",1,9
"Not Giving R of W to Veh.",2,5
"One Way Street",1,3
"Pavement Markings",22,31
"Safety Belt",65,104
"School Bus, Passing Stopped",0,1
Speeding,52,59
Spillback,0,0
"Tinted Windows",71,117
"Truck Routes",1,1
U-Turn,0,2
Uninspected,5,7
Uninsured,30,61
"Unlicensed Operator",28,64
Unregistered,7,13
"Unsafe Lane Change",3,5
"Other Movers
TOTAL Movers","8
480",15
,,891
"* All figures are preliminary and subject to change.",,
