"Moving Violations",,
"43rd Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
5","YTD 2014"
,,13
"Brake Lights (Defect.or  Improper)",34,69
"Bus Lane, Driving in",0,0
"Cell Phone",40,59
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",40,93
"Equipment (Other)",2,4
"Fail to Keep Right",1,3
"Fail to Signal",43,86
"Fail to Stop on Signal",23,34
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",33,63
"Improper Lights",5,5
"Improper Passing",5,8
"Improper Turn",61,106
"Improper/Missing Plates",14,24
"Not Giving R of W to Pedes.",37,70
"Not Giving R of W to Veh.",10,11
"One Way Street",2,3
"Pavement Markings",10,28
"Safety Belt",26,56
"School Bus, Passing Stopped",1,1
Speeding,35,46
Spillback,5,5
"Tinted Windows",219,346
"Truck Routes",0,1
U-Turn,4,7
Uninspected,0,1
Uninsured,19,43
"Unlicensed Operator",57,101
Unregistered,5,9
"Unsafe Lane Change",5,16
"Other Movers
TOTAL Movers","17
759",37
,,1349
"* All figures are preliminary and subject to change.",,
