"Moving Violations",,
"19th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",148,258
"Bus Lane, Driving in",6,13
"Cell Phone",127,288
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",377,794
"Equipment (Other)",0,0
"Fail to Keep Right",0,1
"Fail to Signal",27,82
"Fail to Stop on Signal",64,107
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",59,124
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",372,809
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",86,141
"Not Giving R of W to Veh.",0,2
"One Way Street",13,43
"Pavement Markings",51,139
"Safety Belt",35,82
"School Bus, Passing Stopped",0,0
Speeding,4,6
Spillback,0,1
"Tinted Windows",28,96
"Truck Routes",5,19
U-Turn,2,4
Uninspected,8,39
Uninsured,137,266
"Unlicensed Operator",37,87
Unregistered,60,108
"Unsafe Lane Change",22,50
"Other Movers
TOTAL Movers","74
1744",151
,,3712
"* All figures are preliminary and subject to change.",,
