"Moving Violations",,
"10th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",39,88
"Bus Lane, Driving in",0,0
"Cell Phone",116,265
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",37,70
"Equipment (Other)",0,0
"Fail to Keep Right",1,1
"Fail to Signal",7,10
"Fail to Stop on Signal",20,29
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",42,81
"Improper Lights",7,19
"Improper Passing",3,3
"Improper Turn",80,163
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",6,19
"Not Giving R of W to Veh.",0,1
"One Way Street",1,11
"Pavement Markings",9,16
"Safety Belt",179,405
"School Bus, Passing Stopped",0,1
Speeding,0,3
Spillback,1,3
"Tinted Windows",44,69
"Truck Routes",6,40
U-Turn,0,0
Uninspected,7,15
Uninsured,26,46
"Unlicensed Operator",51,104
Unregistered,12,34
"Unsafe Lane Change",5,9
"Other Movers
TOTAL Movers","51
751",120
,,1629
"* All figures are preliminary and subject to change.",,
