"Moving Violations",,
"24th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,4
"Brake Lights (Defect.or  Improper)",12,36
"Bus Lane, Driving in",0,0
"Cell Phone",129,298
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",32,116
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",21,50
"Fail to Stop on Signal",17,41
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",19,39
"Improper Lights",0,1
"Improper Passing",0,0
"Improper Turn",64,115
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",28,110
"Not Giving R of W to Veh.",2,3
"One Way Street",2,9
"Pavement Markings",0,0
"Safety Belt",33,102
"School Bus, Passing Stopped",1,1
Speeding,19,25
Spillback,1,2
"Tinted Windows",9,27
"Truck Routes",0,5
U-Turn,0,0
Uninspected,1,17
Uninsured,13,22
"Unlicensed Operator",12,35
Unregistered,6,14
"Unsafe Lane Change",3,10
"Other Movers
TOTAL Movers","9
433",52
,,1137
"* All figures are preliminary and subject to change.",,
