"Moving Violations",,
"44th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
3","YTD 2014"
,,8
"Brake Lights (Defect.or  Improper)",22,72
"Bus Lane, Driving in",0,0
"Cell Phone",87,105
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",146,241
"Equipment (Other)",12,21
"Fail to Keep Right",0,0
"Fail to Signal",19,27
"Fail to Stop on Signal",18,31
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",21,71
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",8,10
"Improper/Missing Plates",2,16
"Not Giving R of W to Pedes.",32,42
"Not Giving R of W to Veh.",2,3
"One Way Street",2,6
"Pavement Markings",14,24
"Safety Belt",104,164
"School Bus, Passing Stopped",5,7
Speeding,38,115
Spillback,9,16
"Tinted Windows",55,108
"Truck Routes",1,3
U-Turn,3,8
Uninspected,1,8
Uninsured,27,51
"Unlicensed Operator",35,73
Unregistered,11,28
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","15
692",24
,,1282
"* All figures are preliminary and subject to change.",,
