"Moving Violations",,
Citywide,,
February,,
"Offense Description
Backing Unsafely","MTD 2014
190","YTD 2014"
,,392
"Brake Lights (Defect.or  Improper)",2596,5094
"Bus Lane, Driving in",203,490
"Cell Phone",8884,17518
"Commercial Veh on Pkwy",127,232
"Defective Brakes",20,64
"Disobey Sign",11706,23376
"Equipment (Other)",710,1466
"Fail to Keep Right",16,54
"Fail to Signal",2129,4018
"Fail to Stop on Signal",4332,7916
"Following Too Closely",94,218
"Headlights (Defect. or Improper)",2783,5831
"Improper Lights",395,776
"Improper Passing",298,695
"Improper Turn",6043,11797
"Improper/Missing Plates",228,521
"Not Giving R of W to Pedes.",2818,4811
"Not Giving R of W to Veh.",296,532
"One Way Street",309,615
"Pavement Markings",2282,4702
"Safety Belt",7907,15259
"School Bus, Passing Stopped",87,194
Speeding,7702,15686
Spillback,338,735
"Tinted Windows",7690,15167
"Truck Routes",423,906
U-Turn,830,1495
Uninspected,629,1630
Uninsured,4824,9788
"Unlicensed Operator",4909,9914
Unregistered,1062,2194
"Unsafe Lane Change",373,833
"Other Movers
TOTAL Movers","5089
88322",10064
,,174983
"* All figures are preliminary and subject to change.",,
