"Moving Violations",,
"33rd Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
6","YTD 2014"
,,7
"Brake Lights (Defect.or  Improper)",34,66
"Bus Lane, Driving in",0,0
"Cell Phone",85,179
"Commercial Veh on Pkwy",2,2
"Defective Brakes",0,0
"Disobey Sign",26,92
"Equipment (Other)",0,7
"Fail to Keep Right",0,1
"Fail to Signal",11,29
"Fail to Stop on Signal",30,51
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",15,37
"Improper Lights",0,1
"Improper Passing",0,0
"Improper Turn",28,44
"Improper/Missing Plates",3,9
"Not Giving R of W to Pedes.",30,56
"Not Giving R of W to Veh.",0,1
"One Way Street",4,6
"Pavement Markings",0,4
"Safety Belt",41,73
"School Bus, Passing Stopped",1,2
Speeding,37,61
Spillback,1,1
"Tinted Windows",20,37
"Truck Routes",12,28
U-Turn,18,30
Uninspected,3,5
Uninsured,25,50
"Unlicensed Operator",16,40
Unregistered,7,20
"Unsafe Lane Change",2,4
"Other Movers
TOTAL Movers","44
501",98
,,1041
"* All figures are preliminary and subject to change.",,
