"Moving Violations",,
"7th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",101,228
"Commercial Veh on Pkwy",1,1
"Defective Brakes",2,2
"Disobey Sign",164,358
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",8,21
"Fail to Stop on Signal",61,137
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",25,62
"Improper Passing",1,1
"Improper Turn",55,127
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",22,43
"Not Giving R of W to Veh.",2,2
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",43,121
"School Bus, Passing Stopped",0,1
Speeding,5,9
Spillback,13,26
"Tinted Windows",15,32
"Truck Routes",5,18
U-Turn,0,0
Uninspected,2,4
Uninsured,17,30
"Unlicensed Operator",20,45
Unregistered,1,4
"Unsafe Lane Change",0,1
"Other Movers
TOTAL Movers","34
598",97
,,1371
"* All figures are preliminary and subject to change.",,
