Patrol Bureau,,
   April ,,
"","",""
Backing Unsafely,63,265
Bike Lane,68,232
Bus Lane,330,1405
Cell Phone,3139,12779
Commercial Veh on Pkwy,24,78
Cruising For Passengers,1,4
Disobey Traffic Control Device,14131,62687
Driving Too Slow,3,7
Equipment,1824,6718
Equipment (Other),8,19
Excessive Noise,1,1
Fail to Keep Right,6,25
Fail to yield Right of Way to Pedestrian,4757,20491
Failure to Signal,1234,5454
Failure to yield Right of Way to Vehicle,8,18
Following Too Closely,21,94
Improper Passing,218,604
Improper Taxi Pickup,22,82
Improper Turn,6068,25793
Improper/Missing Plates,112,313
Lamps and Other Equipment on Bicycle,6,22
Motorcycle (Other),163,291
Not Giving R of W to Veh.,70,379
Obstructed Plate,694,2493
One Way Street,364,1331
Overheight,0,0
Overlength,1,1
Overweight,0,1
Overwidth,0,0
Pavement Markings,17,66
Red Light,5976,23981
School Bus,129,641
Scooter In NYC,3,8
Seat Belt,4812,19293
Speeding,6515,25138
Spillback,43,192
TBTA Rule,2,2
Tints,2791,13448
TLC (Other),5,29
Truck Route,145,436
Uninspected,213,672
Uninsured,863,3672
Unlicensed Operator,3649,15104
Unregistered,757,2830
Unsafe Lane Change,209,823
Other Movers,6462,25818
PATROLTOTAL Movers ,65927,273740
