Citywide,,
October  ,,
"","",""
Backing Unsafely,71,810
Bike Lane,47,458
Bus Lane,477,6919
Cell Phone,4104,43527
Commercial Veh on Pkwy,270,2768
Cruising For Passengers,0,12
Disobey Traffic Control Device,18556,178852
Driving Too Slow,4,36
Equipment,2611,31973
Equipment (Other),6,62
Excessive Noise,0,4
Fail to Keep Right,12,111
Fail to yield Right of Way to Pedestrian,4816,45507
Failure to Signal,1675,18520
Following Too Closely,103,836
Improper Passing,219,2169
Improper Taxi Pickup,258,3079
Improper Turn,8216,77037
Improper/Missing Plates,98,1216
Lamps and Other Equipment on Bicycle,7,90
Motorcycle (Other),125,1852
Not Giving R of W to Veh.,130,1343
Obstructed Plate,681,7487
One Way Street,523,5203
Overheight,4,33
Overlength,4,134
Overweight,12,558
Overwidth,0,66
Pavement Markings,36,249
Red Light,6725,61380
School Bus,181,2038
Scooter In NYC,0,9
Seat Belt,6111,71854
Speeding,13818,130253
Spillback,955,6412
TBTA Rule,0,1
Tints,4038,55495
TLC (Other),0,2
Truck Route,242,2174
Uninspected,293,3744
Uninsured,1115,12864
Unlicensed Operator,4508,45276
Unregistered,969,9583
Unsafe Lane Change,459,4407
Other Movers,8792,80951
CitywideTOTAL Movers ,91271,917354
