"Moving Violations",,
"Staten Island",,
"November ",,
pbsisum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",8,65
"Brake Lights (Defect.or Improper)",43,651
"Bus Lane, Driving in",0,21
"Cell Phone",223,3084
"Commercial Veh on Pkwy",5,54
"Defective Brakes",1,11
"Disobey Steady Red Signal",275,2503
"Disobey Traffic Control Device",1265,10746
"Equipment (Other)",14,320
"Fail to Keep Right",0,42
"Fail to Signal",480,4606
"Following Too Closely",26,191
"Headlights (Defect. or Improper)",59,726
"Improper Lights",1,24
"Improper Passing",20,207
"Improper Turn",53,509
"Improper/Missing Plates",23,514
"Not Giving R of W to Pedes.",101,1093
"Not Giving R of W to Veh.",50,435
"OBSTRUCTED PLATE",9,125
"One Way Street",7,112
"Pavement Markings",71,1004
"Safety Belt",401,5326
"School Bus, Passing Stopped",18,206
Speeding,673,6278
Spillback,12,30
"Tinted Windows",295,3528
"Truck Routes",0,25
U-Turn,14,291
Uninspected,22,300
Uninsured,247,2401
"Unlicensed Operator",403,4853
Unregistered,50,704
"Unsafe Lane Change",24,261
"Other Movers",419,4140
"PBSITOTAL Movers ",5312,55386
,,
"* All figures are preliminary and subject to change.",,
