"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",1,8
"Bus Lane, Driving in",0,0
"Cell Phone",96,164
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",79,155
"Disobey Traffic Control Device",267,600
"Equipment (Other)",5,6
"Fail to Keep Right",0,1
"Fail to Signal",14,22
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",16,33
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",30,64
"Improper/Missing Plates",11,19
"Not Giving R of W to Pedes.",33,70
"Not Giving R of W to Veh.",0,0
"OBSTRUCTED PLATE",5,5
"One Way Street",2,4
"Pavement Markings",3,12
"Safety Belt",100,173
"School Bus, Passing Stopped",3,3
Speeding,28,57
Spillback,0,0
"Tinted Windows",49,86
"Truck Routes",0,0
U-Turn,0,0
Uninspected,8,11
Uninsured,30,65
"Unlicensed Operator",28,60
Unregistered,13,19
"Unsafe Lane Change",1,1
"Other Movers",67,144
"TOTAL Movers",890,1783
"Moving Violations",,
"88th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
