"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,3
"Brake Lights (Defect.or Improper)",8,16
"Bus Lane, Driving in",1,1
"Cell Phone",70,143
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",119,225
"Disobey Traffic Control Device",67,184
"Equipment (Other)",3,8
"Fail to Keep Right",0,0
"Fail to Signal",9,23
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",7,10
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",15,23
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",97,137
"Not Giving R of W to Veh.",0,1
"OBSTRUCTED PLATE",4,5
"One Way Street",0,0
"Pavement Markings",7,12
"Safety Belt",38,88
"School Bus, Passing Stopped",0,1
Speeding,17,55
Spillback,0,0
"Tinted Windows",59,96
"Truck Routes",0,0
U-Turn,3,12
Uninspected,2,2
Uninsured,29,70
"Unlicensed Operator",27,47
Unregistered,8,21
"Unsafe Lane Change",0,0
"Other Movers",29,74
"TOTAL Movers",622,1260
"Moving Violations",,
"78th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
