"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",18,43
"Bus Lane, Driving in",1,3
"Cell Phone",186,392
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",38,72
"Disobey Traffic Control Device",225,501
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",32,93
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",25,44
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",250,578
"Improper/Missing Plates",5,7
"Not Giving R of W to Pedes.",254,442
"Not Giving R of W to Veh.",0,1
"OBSTRUCTED PLATE",0,0
"One Way Street",20,22
"Pavement Markings",2,2
"Safety Belt",40,86
"School Bus, Passing Stopped",0,0
Speeding,42,53
Spillback,44,82
"Tinted Windows",26,48
"Truck Routes",18,30
U-Turn,75,136
Uninspected,1,1
Uninsured,22,37
"Unlicensed Operator",29,57
Unregistered,7,11
"Unsafe Lane Change",9,27
"Other Movers",205,330
"TOTAL Movers",1576,3100
"Moving Violations",,
"Midtown South Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
