"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",10,18
"Bus Lane, Driving in",0,0
"Cell Phone",47,82
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",21,52
"Disobey Traffic Control Device",229,437
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",14,34
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",9,19
"Improper Lights",3,3
"Improper Passing",0,0
"Improper Turn",190,349
"Improper/Missing Plates",15,25
"Not Giving R of W to Pedes.",35,78
"Not Giving R of W to Veh.",9,12
"OBSTRUCTED PLATE",0,0
"One Way Street",0,1
"Pavement Markings",0,0
"Safety Belt",75,101
"School Bus, Passing Stopped",2,3
Speeding,89,143
Spillback,0,0
"Tinted Windows",40,71
"Truck Routes",0,0
U-Turn,9,25
Uninspected,4,9
Uninsured,14,26
"Unlicensed Operator",54,106
Unregistered,3,9
"Unsafe Lane Change",0,0
"Other Movers",68,118
"TOTAL Movers",940,1722
"Moving Violations",,
"107th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
