"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,5
"Brake Lights (Defect.or Improper)",1,1
"Bus Lane, Driving in",1,1
"Cell Phone",76,132
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",68,144
"Disobey Traffic Control Device",151,347
"Equipment (Other)",27,49
"Fail to Keep Right",0,1
"Fail to Signal",6,16
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",0,0
"Improper Passing",4,4
"Improper Turn",27,63
"Improper/Missing Plates",1,8
"Not Giving R of W to Pedes.",38,110
"Not Giving R of W to Veh.",3,7
"OBSTRUCTED PLATE",6,9
"One Way Street",1,2
"Pavement Markings",0,0
"Safety Belt",93,181
"School Bus, Passing Stopped",0,0
Speeding,67,224
Spillback,3,3
"Tinted Windows",78,152
"Truck Routes",3,6
U-Turn,0,0
Uninspected,3,9
Uninsured,8,10
"Unlicensed Operator",69,147
Unregistered,10,24
"Unsafe Lane Change",0,1
"Other Movers",97,199
"TOTAL Movers",844,1856
"Moving Violations",,
"104th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
