"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",5,16
"Bus Lane, Driving in",0,0
"Cell Phone",41,69
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",61,105
"Disobey Traffic Control Device",142,284
"Equipment (Other)",1,6
"Fail to Keep Right",1,3
"Fail to Signal",8,30
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",5,9
"Improper Lights",0,0
"Improper Passing",1,2
"Improper Turn",40,67
"Improper/Missing Plates",4,12
"Not Giving R of W to Pedes.",14,22
"Not Giving R of W to Veh.",2,6
"OBSTRUCTED PLATE",4,7
"One Way Street",2,2
"Pavement Markings",1,9
"Safety Belt",48,110
"School Bus, Passing Stopped",1,1
Speeding,70,175
Spillback,0,0
"Tinted Windows",79,136
"Truck Routes",0,5
U-Turn,0,2
Uninspected,10,24
Uninsured,18,46
"Unlicensed Operator",25,63
Unregistered,5,20
"Unsafe Lane Change",0,0
"Other Movers",46,65
"TOTAL Movers",634,1298
"Moving Violations",,
"94th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
