"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",1,1
"Bus Lane, Driving in",0,0
"Cell Phone",158,348
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",35,73
"Disobey Traffic Control Device",152,301
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",4,11
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",1,5
"Improper Lights",0,2
"Improper Passing",0,0
"Improper Turn",5,11
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",94,176
"Not Giving R of W to Veh.",0,0
"OBSTRUCTED PLATE",7,15
"One Way Street",0,3
"Pavement Markings",0,0
"Safety Belt",190,394
"School Bus, Passing Stopped",6,12
Speeding,64,177
Spillback,0,0
"Tinted Windows",34,56
"Truck Routes",2,4
U-Turn,3,8
Uninspected,3,3
Uninsured,9,16
"Unlicensed Operator",57,115
Unregistered,1,3
"Unsafe Lane Change",4,9
"Other Movers",192,410
"TOTAL Movers",1023,2156
"Moving Violations",,
"111th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
