"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",26,61
"Bus Lane, Driving in",0,0
"Cell Phone",47,135
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",31,71
"Disobey Traffic Control Device",124,371
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Following Too Closely",2,3
"Headlights (Defect. or Improper)",21,67
"Improper Lights",0,0
"Improper Passing",2,6
"Improper Turn",87,196
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",27,70
"Not Giving R of W to Veh.",3,8
"OBSTRUCTED PLATE",11,37
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",32,94
"School Bus, Passing Stopped",1,3
Speeding,62,118
Spillback,0,0
"Tinted Windows",75,210
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,8
Uninsured,59,167
"Unlicensed Operator",51,129
Unregistered,19,54
"Unsafe Lane Change",1,2
"Other Movers",37,97
"TOTAL Movers",720,1909
"Moving Violations",,
"47th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
