"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",4,14
"Bus Lane, Driving in",0,0
"Cell Phone",58,103
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",45,67
"Disobey Traffic Control Device",107,217
"Equipment (Other)",1,2
"Fail to Keep Right",0,0
"Fail to Signal",8,19
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",9,26
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",59,137
"Improper/Missing Plates",5,16
"Not Giving R of W to Pedes.",41,145
"Not Giving R of W to Veh.",1,1
"OBSTRUCTED PLATE",12,23
"One Way Street",1,1
"Pavement Markings",48,90
"Safety Belt",10,13
"School Bus, Passing Stopped",2,2
Speeding,17,40
Spillback,0,0
"Tinted Windows",26,62
"Truck Routes",0,0
U-Turn,7,9
Uninspected,1,7
Uninsured,5,40
"Unlicensed Operator",28,54
Unregistered,0,5
"Unsafe Lane Change",0,2
"Other Movers",77,115
"TOTAL Movers",573,1211
"Moving Violations",,
"26th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
