"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,5
"Brake Lights (Defect.or Improper)",44,108
"Bus Lane, Driving in",0,0
"Cell Phone",105,213
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",38,90
"Disobey Traffic Control Device",154,340
"Equipment (Other)",0,3
"Fail to Keep Right",0,0
"Fail to Signal",20,42
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",46,91
"Improper Lights",5,10
"Improper Passing",1,2
"Improper Turn",19,28
"Improper/Missing Plates",4,13
"Not Giving R of W to Pedes.",30,77
"Not Giving R of W to Veh.",2,8
"OBSTRUCTED PLATE",3,5
"One Way Street",5,8
"Pavement Markings",0,0
"Safety Belt",95,186
"School Bus, Passing Stopped",3,4
Speeding,53,88
Spillback,1,3
"Tinted Windows",56,121
"Truck Routes",0,0
U-Turn,0,1
Uninspected,0,1
Uninsured,54,122
"Unlicensed Operator",64,135
Unregistered,10,21
"Unsafe Lane Change",2,2
"Other Movers",53,91
"TOTAL Movers",869,1818
"Moving Violations",,
"81st Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
