"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",18,35
"Brake Lights (Defect.or Improper)",45,97
"Bus Lane, Driving in",11,19
"Cell Phone",1093,2042
"Commercial Veh on Pkwy",1,1
"Defective Brakes",0,1
"Disobey Steady Red Signal",917,1791
"Disobey Traffic Control Device",2035,4318
"Equipment (Other)",39,87
"Fail to Keep Right",1,2
"Fail to Signal",212,518
"Following Too Closely",3,6
"Headlights (Defect. or Improper)",68,135
"Improper Lights",1,5
"Improper Passing",53,100
"Improper Turn",629,1238
"Improper/Missing Plates",77,169
"Not Giving R of W to Pedes.",815,1680
"Not Giving R of W to Veh.",44,100
"OBSTRUCTED PLATE",72,126
"One Way Street",25,46
"Pavement Markings",152,325
"Safety Belt",1087,2002
"School Bus, Passing Stopped",22,62
Speeding,867,1582
Spillback,14,24
"Tinted Windows",1484,3152
"Truck Routes",20,51
U-Turn,46,111
Uninspected,43,101
Uninsured,279,605
"Unlicensed Operator",732,1489
Unregistered,124,255
"Unsafe Lane Change",63,113
"Other Movers",787,1515
"TOTAL Movers",11879,23903
"Moving Violations",,
"Brooklyn South",,
February,,
"* All figures are preliminary and subject to change.",,
