"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",6,11
"Brake Lights (Defect.or Improper)",46,83
"Bus Lane, Driving in",0,0
"Cell Phone",63,138
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",39,73
"Disobey Traffic Control Device",165,347
"Equipment (Other)",4,6
"Fail to Keep Right",0,0
"Fail to Signal",71,182
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",50,111
"Improper Lights",0,0
"Improper Passing",4,15
"Improper Turn",76,199
"Improper/Missing Plates",17,39
"Not Giving R of W to Pedes.",150,202
"Not Giving R of W to Veh.",4,18
"OBSTRUCTED PLATE",19,26
"One Way Street",0,11
"Pavement Markings",19,48
"Safety Belt",52,106
"School Bus, Passing Stopped",0,10
Speeding,45,116
Spillback,1,3
"Tinted Windows",102,205
"Truck Routes",0,0
U-Turn,4,6
Uninspected,5,7
Uninsured,48,90
"Unlicensed Operator",101,222
Unregistered,39,62
"Unsafe Lane Change",53,166
"Other Movers",49,120
"TOTAL Movers",1232,2623
"Moving Violations",,
"43rd Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
