"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",4,10
"Brake Lights (Defect.or Improper)",5,7
"Bus Lane, Driving in",1,6
"Cell Phone",746,1530
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",523,1260
"Disobey Traffic Control Device",2048,4364
"Equipment (Other)",107,266
"Fail to Keep Right",1,3
"Fail to Signal",81,191
"Following Too Closely",3,4
"Headlights (Defect. or Improper)",7,23
"Improper Lights",24,82
"Improper Passing",19,34
"Improper Turn",416,907
"Improper/Missing Plates",9,36
"Not Giving R of W to Pedes.",574,1367
"Not Giving R of W to Veh.",16,44
"OBSTRUCTED PLATE",43,77
"One Way Street",10,30
"Pavement Markings",25,86
"Safety Belt",1017,1788
"School Bus, Passing Stopped",20,44
Speeding,533,1316
Spillback,6,9
"Tinted Windows",459,1005
"Truck Routes",12,26
U-Turn,4,10
Uninspected,13,25
Uninsured,80,165
"Unlicensed Operator",471,1017
Unregistered,35,71
"Unsafe Lane Change",7,17
"Other Movers",722,1469
"TOTAL Movers",8041,17289
"Moving Violations",,
"Queens North",,
February,,
"* All figures are preliminary and subject to change.",,
