"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",3,3
"Brake Lights (Defect.or Improper)",6,32
"Bus Lane, Driving in",1,1
"Cell Phone",72,138
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",57,94
"Disobey Traffic Control Device",106,202
"Equipment (Other)",9,23
"Fail to Keep Right",0,0
"Fail to Signal",60,95
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",5,17
"Improper Lights",1,1
"Improper Passing",4,4
"Improper Turn",138,273
"Improper/Missing Plates",0,2
"Not Giving R of W to Pedes.",53,120
"Not Giving R of W to Veh.",3,9
"OBSTRUCTED PLATE",0,1
"One Way Street",5,10
"Pavement Markings",17,25
"Safety Belt",41,82
"School Bus, Passing Stopped",1,4
Speeding,87,259
Spillback,7,18
"Tinted Windows",177,360
"Truck Routes",6,24
U-Turn,6,12
Uninspected,1,2
Uninsured,25,63
"Unlicensed Operator",69,161
Unregistered,16,39
"Unsafe Lane Change",3,4
"Other Movers",41,79
"TOTAL Movers",1020,2157
"Moving Violations",,
"48th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
