"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",86,157
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",62,112
"Disobey Traffic Control Device",181,322
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",7,13
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",2,2
"Improper Passing",0,0
"Improper Turn",124,217
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",33,62
"Not Giving R of W to Veh.",0,0
"OBSTRUCTED PLATE",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",52,80
"School Bus, Passing Stopped",0,0
Speeding,17,25
Spillback,4,4
"Tinted Windows",54,72
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,3
Uninsured,8,17
"Unlicensed Operator",23,38
Unregistered,1,5
"Unsafe Lane Change",1,1
"Other Movers",20,24
"TOTAL Movers",676,1155
"Moving Violations",,
"7th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
