"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,3
"Brake Lights (Defect.or Improper)",5,10
"Bus Lane, Driving in",0,0
"Cell Phone",59,89
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",58,102
"Disobey Traffic Control Device",278,582
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",6,13
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",7,15
"Improper Lights",0,0
"Improper Passing",0,3
"Improper Turn",146,203
"Improper/Missing Plates",4,7
"Not Giving R of W to Pedes.",41,138
"Not Giving R of W to Veh.",1,5
"OBSTRUCTED PLATE",9,16
"One Way Street",1,2
"Pavement Markings",148,224
"Safety Belt",19,29
"School Bus, Passing Stopped",0,4
Speeding,60,133
Spillback,0,1
"Tinted Windows",111,188
"Truck Routes",0,0
U-Turn,2,2
Uninspected,7,18
Uninsured,13,26
"Unlicensed Operator",42,96
Unregistered,13,26
"Unsafe Lane Change",1,2
"Other Movers",27,51
"TOTAL Movers",1062,1990
"Moving Violations",,
"32nd Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
