"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,2
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",29,46
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",92,168
"Disobey Traffic Control Device",246,474
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",7,15
"Improper Passing",2,6
"Improper Turn",239,439
"Improper/Missing Plates",1,2
"Not Giving R of W to Pedes.",27,47
"Not Giving R of W to Veh.",7,13
"OBSTRUCTED PLATE",3,7
"One Way Street",2,4
"Pavement Markings",6,10
"Safety Belt",73,130
"School Bus, Passing Stopped",1,2
Speeding,40,105
Spillback,1,3
"Tinted Windows",59,154
"Truck Routes",1,5
U-Turn,0,0
Uninspected,9,26
Uninsured,123,234
"Unlicensed Operator",44,104
Unregistered,15,26
"Unsafe Lane Change",2,8
"Other Movers",47,93
"TOTAL Movers",1077,2123
"Moving Violations",,
"106th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
