"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",12,28
"Bus Lane, Driving in",0,0
"Cell Phone",43,60
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",106,209
"Disobey Traffic Control Device",71,264
"Equipment (Other)",17,27
"Fail to Keep Right",0,0
"Fail to Signal",15,26
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",2,11
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",168,294
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",56,126
"Not Giving R of W to Veh.",0,0
"OBSTRUCTED PLATE",4,5
"One Way Street",3,7
"Pavement Markings",0,0
"Safety Belt",3,19
"School Bus, Passing Stopped",4,7
Speeding,83,247
Spillback,0,1
"Tinted Windows",0,1
"Truck Routes",1,2
U-Turn,1,1
Uninspected,12,25
Uninsured,9,17
"Unlicensed Operator",12,33
Unregistered,1,3
"Unsafe Lane Change",2,2
"Other Movers",34,58
"TOTAL Movers",659,1477
"Moving Violations",,
"24th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
