"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",3,3
"Bus Lane, Driving in",0,0
"Cell Phone",118,273
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",65,112
"Disobey Traffic Control Device",73,189
"Equipment (Other)",3,4
"Fail to Keep Right",0,0
"Fail to Signal",11,31
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",4,14
"Improper Lights",1,2
"Improper Passing",1,1
"Improper Turn",14,28
"Improper/Missing Plates",3,7
"Not Giving R of W to Pedes.",89,177
"Not Giving R of W to Veh.",0,2
"OBSTRUCTED PLATE",1,1
"One Way Street",9,21
"Pavement Markings",0,0
"Safety Belt",214,344
"School Bus, Passing Stopped",6,14
Speeding,92,275
Spillback,0,0
"Tinted Windows",20,45
"Truck Routes",5,8
U-Turn,0,0
Uninspected,3,4
Uninsured,4,11
"Unlicensed Operator",76,155
Unregistered,3,6
"Unsafe Lane Change",1,2
"Other Movers",46,84
"TOTAL Movers",865,1813
"Moving Violations",,
"110th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
