"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",5,9
"Bus Lane, Driving in",0,0
"Cell Phone",136,225
"Commercial Veh on Pkwy",4,4
"Defective Brakes",0,0
"Disobey Steady Red Signal",129,261
"Disobey Traffic Control Device",254,549
"Equipment (Other)",3,8
"Fail to Keep Right",1,1
"Fail to Signal",1,4
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",3,4
"Improper Lights",0,0
"Improper Passing",0,3
"Improper Turn",158,362
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",41,126
"Not Giving R of W to Veh.",0,1
"OBSTRUCTED PLATE",4,4
"One Way Street",4,5
"Pavement Markings",0,0
"Safety Belt",47,104
"School Bus, Passing Stopped",7,9
Speeding,61,121
Spillback,0,1
"Tinted Windows",7,7
"Truck Routes",6,22
U-Turn,4,10
Uninspected,1,1
Uninsured,3,11
"Unlicensed Operator",26,57
Unregistered,2,2
"Unsafe Lane Change",3,4
"Other Movers",61,100
"TOTAL Movers",971,2017
"Moving Violations",,
"20th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
