"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",3,4
"Brake Lights (Defect.or Improper)",6,9
"Bus Lane, Driving in",3,3
"Cell Phone",108,190
"Commercial Veh on Pkwy",2,2
"Defective Brakes",3,3
"Disobey Steady Red Signal",34,88
"Disobey Traffic Control Device",287,518
"Equipment (Other)",7,22
"Fail to Keep Right",1,1
"Fail to Signal",82,134
"Following Too Closely",2,4
"Headlights (Defect. or Improper)",4,15
"Improper Lights",0,0
"Improper Passing",6,7
"Improper Turn",19,42
"Improper/Missing Plates",12,21
"Not Giving R of W to Pedes.",25,109
"Not Giving R of W to Veh.",6,8
"OBSTRUCTED PLATE",2,7
"One Way Street",6,9
"Pavement Markings",14,26
"Safety Belt",110,168
"School Bus, Passing Stopped",3,5
Speeding,137,376
Spillback,0,0
"Tinted Windows",50,101
"Truck Routes",0,1
U-Turn,4,9
Uninspected,11,29
Uninsured,52,108
"Unlicensed Operator",84,147
Unregistered,13,26
"Unsafe Lane Change",8,11
"Other Movers",229,438
"TOTAL Movers",1333,2641
"Moving Violations",,
"122nd Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
