"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",101,156
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",65,260
"Disobey Traffic Control Device",242,548
"Equipment (Other)",3,107
"Fail to Keep Right",0,0
"Fail to Signal",4,19
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",3,19
"Improper Passing",3,9
"Improper Turn",65,111
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",74,153
"Not Giving R of W to Veh.",0,0
"OBSTRUCTED PLATE",1,1
"One Way Street",0,0
"Pavement Markings",13,64
"Safety Belt",161,250
"School Bus, Passing Stopped",1,1
Speeding,68,121
Spillback,0,0
"Tinted Windows",35,161
"Truck Routes",0,0
U-Turn,0,0
Uninspected,1,3
Uninsured,12,24
"Unlicensed Operator",79,167
Unregistered,4,7
"Unsafe Lane Change",0,0
"Other Movers",79,155
"TOTAL Movers",1014,2339
"Moving Violations",,
"115th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
