"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",0,2
"Bus Lane, Driving in",0,0
"Cell Phone",64,126
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",113,197
"Disobey Traffic Control Device",106,205
"Equipment (Other)",6,12
"Fail to Keep Right",0,0
"Fail to Signal",14,34
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",0,1
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",135,250
"Improper/Missing Plates",10,30
"Not Giving R of W to Pedes.",44,94
"Not Giving R of W to Veh.",0,2
"OBSTRUCTED PLATE",0,3
"One Way Street",0,0
"Pavement Markings",14,37
"Safety Belt",75,173
"School Bus, Passing Stopped",0,1
Speeding,7,25
Spillback,0,6
"Tinted Windows",28,85
"Truck Routes",0,0
U-Turn,2,10
Uninspected,1,5
Uninsured,6,15
"Unlicensed Operator",16,35
Unregistered,3,11
"Unsafe Lane Change",7,18
"Other Movers",40,98
"TOTAL Movers",692,1480
"Moving Violations",,
"9th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
