"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,3
"Brake Lights (Defect.or Improper)",16,25
"Bus Lane, Driving in",0,5
"Cell Phone",63,184
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",107,245
"Disobey Traffic Control Device",321,678
"Equipment (Other)",0,7
"Fail to Keep Right",0,0
"Fail to Signal",12,38
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",30,38
"Improper Lights",0,0
"Improper Passing",2,4
"Improper Turn",60,152
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",17,72
"Not Giving R of W to Veh.",2,6
"OBSTRUCTED PLATE",23,46
"One Way Street",5,7
"Pavement Markings",2,18
"Safety Belt",42,73
"School Bus, Passing Stopped",4,4
Speeding,107,335
Spillback,2,5
"Tinted Windows",179,323
"Truck Routes",0,0
U-Turn,4,11
Uninspected,2,3
Uninsured,23,42
"Unlicensed Operator",72,155
Unregistered,19,36
"Unsafe Lane Change",2,6
"Other Movers",135,233
"TOTAL Movers",1251,2756
"Moving Violations",,
"77th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
