"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,3
"Brake Lights (Defect.or Improper)",6,14
"Bus Lane, Driving in",0,0
"Cell Phone",67,122
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Steady Red Signal",17,33
"Disobey Traffic Control Device",234,479
"Equipment (Other)",0,0
"Fail to Keep Right",1,2
"Fail to Signal",15,31
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",3,10
"Improper Lights",1,1
"Improper Passing",1,3
"Improper Turn",52,96
"Improper/Missing Plates",2,7
"Not Giving R of W to Pedes.",32,77
"Not Giving R of W to Veh.",3,3
"OBSTRUCTED PLATE",0,0
"One Way Street",0,0
"Pavement Markings",49,104
"Safety Belt",114,182
"School Bus, Passing Stopped",2,3
Speeding,72,182
Spillback,0,0
"Tinted Windows",112,198
"Truck Routes",1,3
U-Turn,4,11
Uninspected,0,1
Uninsured,23,55
"Unlicensed Operator",69,143
Unregistered,6,20
"Unsafe Lane Change",3,6
"Other Movers",88,169
"TOTAL Movers",979,1959
"Moving Violations",,
"105th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
