"Offense  Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",5,10
"Bus Lane, Driving in",0,0
"Cell Phone",61,122
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",23,47
"Disobey Traffic Control Device",139,286
"Equipment (Other)",2,2
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,17
"Improper Lights",0,0
"Improper Passing",12,14
"Improper Turn",79,133
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",48,78
"Not Giving R of W to Veh.",1,1
"OBSTRUCTED PLATE",5,16
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",67,118
"School Bus, Passing Stopped",0,0
Speeding,68,89
Spillback,0,0
"Tinted Windows",120,249
"Truck Routes",2,4
U-Turn,0,0
Uninspected,4,8
Uninsured,18,37
"Unlicensed Operator",28,65
Unregistered,10,23
"Unsafe Lane Change",0,0
"Other Movers",54,102
"TOTAL Movers",754,1423
"Moving Violations",,
"69th Precinct",,
February,,
"* All figures are preliminary and subject to change.",,
